s,t,x,y 
       0.0,   0.000000,    130.000,     75.000
       1.0,  -0.062832,    127.754,     74.165
       2.0,  -0.125664,    125.494,     73.392
       3.0,  -0.188496,    123.226,     72.687
       4.0,  -0.251328,    120.954,     72.056
       5.0,  -0.314160,    118.683,     71.503
       6.0,  -0.376992,    116.420,     71.034
       7.0,  -0.439824,    114.172,     70.653
       8.0,  -0.502656,    111.944,     70.364
       9.0,  -0.565488,    109.745,     70.168
      10.0,  -0.628320,    107.581,     70.070
      11.0,  -0.691152,    105.463,     70.070
      12.0,  -0.753984,    103.397,     70.168
      13.0,  -0.816816,    101.393,     70.365
      14.0,  -0.879648,     99.460,     70.660
      15.0,  -0.942480,     97.607,     71.051
      16.0,  -1.005312,     95.843,     71.536
      17.0,  -1.068144,     94.179,     72.112
      18.0,  -1.130976,     92.624,     72.775
      19.0,  -1.193808,     91.189,     73.520
      20.0,  -1.256640,     89.883,     74.343
      21.0,  -1.319472,     88.718,     75.238
      22.0,  -1.382304,     87.702,     76.198
      23.0,  -1.445136,     86.848,     77.218
      24.0,  -1.507968,     86.166,     78.290
      25.0,  -1.570800,     85.667,     79.408
      26.0,  -1.633632,     85.361,     80.564
      27.0,  -1.696464,     85.262,     81.750
      28.0,  -1.759296,     85.378,     82.961
      29.0,  -1.822128,     85.722,     84.189
      30.0,  -1.884960,     86.305,     85.428
      31.0,  -1.947792,     87.138,     86.674
      32.0,  -2.010624,     88.229,     87.923
      33.0,  -2.073456,     89.589,     89.172
      34.0,  -2.136288,     91.223,     90.420
      35.0,  -2.199120,     93.137,     91.670
      36.0,  -2.261952,     95.331,     92.924
      37.0,  -2.324784,     97.802,     94.188
      38.0,  -2.387616,    100.538,     95.470
      39.0,  -2.450448,    103.528,     96.777
      40.0,  -2.513280,    106.749,     98.116
      41.0,  -2.576112,    110.173,     99.494
      42.0,  -2.638944,    113.763,    100.915
      43.0,  -2.701776,    117.477,    102.378
      44.0,  -2.764608,    121.271,    103.880
      45.0,  -2.827440,    125.097,    105.409
      46.0,  -2.890272,    128.911,    106.951
      47.0,  -2.953104,    132.668,    108.485
      48.0,  -3.015936,    136.333,    109.989
      49.0,  -3.078768,    139.873,    111.439
      50.0,  -3.141600,    143.264,    112.811
      51.0,  -3.204432,    146.487,    114.084
      52.0,  -3.267264,    149.531,    115.237
      53.0,  -3.330096,    152.387,    116.254
      54.0,  -3.392928,    155.053,    117.125
      55.0,  -3.455760,    157.528,    117.839
      56.0,  -3.518592,    159.814,    118.392
      57.0,  -3.581424,    161.913,    118.783
      58.0,  -3.644256,    163.830,    119.011
      59.0,  -3.707088,    165.568,    119.081
      60.0,  -3.769920,    167.132,    118.998
      61.0,  -3.832752,    168.526,    118.768
      62.0,  -3.895584,    169.753,    118.399
      63.0,  -3.958416,    170.818,    117.899
      64.0,  -4.021248,    171.723,    117.278
      65.0,  -4.084080,    172.473,    116.546
      66.0,  -4.146912,    173.069,    115.711
      67.0,  -4.209744,    173.515,    114.784
      68.0,  -4.272576,    173.815,    113.774
      69.0,  -4.335408,    173.970,    112.692
      70.0,  -4.398240,    173.985,    111.546
      71.0,  -4.461072,    173.862,    110.345
      72.0,  -4.523904,    173.605,    109.099
      73.0,  -4.586736,    173.217,    107.815
      74.0,  -4.649568,    172.702,    106.502
      75.0,  -4.712400,    172.064,    105.167
      76.0,  -4.775232,    171.308,    103.816
      77.0,  -4.838064,    170.437,    102.456
      78.0,  -4.900896,    169.457,    101.092
      79.0,  -4.963728,    168.372,     99.729
      80.0,  -5.026560,    167.187,     98.371
      81.0,  -5.089392,    165.909,     97.022
      82.0,  -5.152224,    164.541,     95.686
      83.0,  -5.215056,    163.090,     94.363
      84.0,  -5.277888,    161.560,     93.056
      85.0,  -5.340720,    159.957,     91.766
      86.0,  -5.403552,    158.287,     90.493
      87.0,  -5.466384,    156.553,     89.239
      88.0,  -5.529216,    154.761,     88.002
      89.0,  -5.592048,    152.915,     86.784
      90.0,  -5.654880,    151.019,     85.585
      91.0,  -5.717712,    149.077,     84.404
      92.0,  -5.780544,    147.092,     83.244
      93.0,  -5.843376,    145.067,     82.105
      94.0,  -5.906208,    143.005,     80.989
      95.0,  -5.969040,    140.908,     79.901
      96.0,  -6.031872,    138.780,     78.842
      97.0,  -6.094704,    136.622,     77.817
      98.0,  -6.157536,    134.437,     76.832
      99.0,  -6.220368,    132.229,     75.891
     100.0,  -6.283200,    129.999,     75.000
