s,t,x,y 
       0.0,   0.000000,    140.000,    150.000
       1.0,  -0.062832,    137.065,    148.736
       2.0,  -0.125664,    133.926,    147.477
       3.0,  -0.188496,    130.586,    146.217
       4.0,  -0.251327,    127.049,    144.948
       5.0,  -0.314159,    123.325,    143.660
       6.0,  -0.376991,    119.424,    142.341
       7.0,  -0.439823,    115.365,    140.982
       8.0,  -0.502655,    111.170,    139.573
       9.0,  -0.565487,    106.868,    138.105
      10.0,  -0.628319,    102.497,    136.577
      11.0,  -0.691150,     98.099,    134.993
      12.0,  -0.753982,     93.721,    133.366
      13.0,  -0.816814,     89.415,    131.720
      14.0,  -0.879646,     85.231,    130.090
      15.0,  -0.942478,     81.216,    128.520
      16.0,  -1.005310,     77.408,    127.062
      17.0,  -1.068142,     73.837,    125.770
      18.0,  -1.130973,     70.523,    124.696
      19.0,  -1.193805,     67.473,    123.886
      20.0,  -1.256637,     64.688,    123.375
      21.0,  -1.319469,     62.161,    123.187
      22.0,  -1.382301,     59.884,    123.332
      23.0,  -1.445133,     57.846,    123.811
      24.0,  -1.507964,     56.039,    124.610
      25.0,  -1.570796,     54.458,    125.711
      26.0,  -1.633628,     53.094,    127.096
      27.0,  -1.696460,     51.946,    128.742
      28.0,  -1.759292,     51.012,    130.621
      29.0,  -1.822124,     50.292,    132.707
      30.0,  -1.884956,     49.786,    134.972
      31.0,  -1.947787,     49.496,    137.392
      32.0,  -2.010619,     49.422,    139.941
      33.0,  -2.073451,     49.565,    142.593
      34.0,  -2.136283,     49.927,    145.327
      35.0,  -2.199115,     50.507,    148.120
      36.0,  -2.261947,     51.304,    150.950
      37.0,  -2.324779,     52.318,    153.796
      38.0,  -2.387610,     53.546,    156.639
      39.0,  -2.450442,     54.985,    159.460
      40.0,  -2.513274,     56.632,    162.241
      41.0,  -2.576106,     58.482,    164.965
      42.0,  -2.638938,     60.529,    167.616
      43.0,  -2.701770,     62.767,    170.178
      44.0,  -2.764602,     65.189,    172.637
      45.0,  -2.827433,     67.786,    174.979
      46.0,  -2.890265,     70.550,    177.192
      47.0,  -2.953097,     73.470,    179.265
      48.0,  -3.015929,     76.535,    181.187
      49.0,  -3.078761,     79.733,    182.950
      50.0,  -3.141593,     83.052,    184.547
      51.0,  -3.204425,     86.477,    185.971
      52.0,  -3.267256,     89.992,    187.220
      53.0,  -3.330088,     93.581,    188.292
      54.0,  -3.392920,     97.226,    189.188
      55.0,  -3.455752,    100.907,    189.910
      56.0,  -3.518584,    104.603,    190.464
      57.0,  -3.581416,    108.294,    190.857
      58.0,  -3.644247,    111.957,    191.097
      59.0,  -3.707079,    115.571,    191.193
      60.0,  -3.769911,    119.117,    191.154
      61.0,  -3.832743,    122.575,    190.991
      62.0,  -3.895575,    125.929,    190.712
      63.0,  -3.958407,    129.163,    190.326
      64.0,  -4.021239,    132.264,    189.841
      65.0,  -4.084070,    135.222,    189.268
      66.0,  -4.146902,    138.027,    188.615
      67.0,  -4.209734,    140.671,    187.892
      68.0,  -4.272566,    143.150,    187.108
      69.0,  -4.335398,    145.459,    186.272
      70.0,  -4.398230,    147.597,    185.394
      71.0,  -4.461062,    149.564,    184.483
      72.0,  -4.523893,    151.361,    183.547
      73.0,  -4.586725,    152.991,    182.593
      74.0,  -4.649557,    154.459,    181.626
      75.0,  -4.712389,    155.770,    180.648
      76.0,  -4.775221,    156.930,    179.660
      77.0,  -4.838053,    157.945,    178.661
      78.0,  -4.900885,    158.820,    177.646
      79.0,  -4.963716,    159.559,    176.612
      80.0,  -5.026548,    160.165,    175.553
      81.0,  -5.089380,    160.639,    174.465
      82.0,  -5.152212,    160.980,    173.345
      83.0,  -5.215044,    161.186,    172.190
      84.0,  -5.277876,    161.254,    171.001
      85.0,  -5.340708,    161.181,    169.778
      86.0,  -5.403539,    160.963,    168.524
      87.0,  -5.466371,    160.593,    167.242
      88.0,  -5.529203,    160.069,    165.936
      89.0,  -5.592035,    159.384,    164.610
      90.0,  -5.654867,    158.535,    163.269
      91.0,  -5.717699,    157.516,    161.918
      92.0,  -5.780530,    156.323,    160.563
      93.0,  -5.843362,    154.950,    159.208
      94.0,  -5.906194,    153.395,    157.857
      95.0,  -5.969026,    151.652,    156.514
      96.0,  -6.031858,    149.717,    155.183
      97.0,  -6.094690,    147.588,    153.865
      98.0,  -6.157522,    145.260,    152.562
      99.0,  -6.220353,    142.732,    151.275
     100.0,  -6.283185,    140.000,    150.000
