s,t,x,y 
       0.0,   0.000000,    130.000,    160.000
       1.0,   0.062832,    128.240,    160.928
       2.0,   0.125664,    126.418,    161.828
       3.0,   0.188496,    124.537,    162.700
       4.0,   0.251328,    122.603,    163.545
       5.0,   0.314160,    120.618,    164.364
       6.0,   0.376992,    118.589,    165.159
       7.0,   0.439824,    116.520,    165.930
       8.0,   0.502656,    114.418,    166.680
       9.0,   0.565488,    112.290,    167.411
      10.0,   0.628320,    110.144,    168.123
      11.0,   0.691152,    107.989,    168.820
      12.0,   0.753984,    105.833,    169.500
      13.0,   0.816816,    103.688,    170.165
      14.0,   0.879648,    101.564,    170.814
      15.0,   0.942480,     99.473,    171.443
      16.0,   1.005312,     97.428,    172.050
      17.0,   1.068144,     95.441,    172.628
      18.0,   1.130976,     93.525,    173.169
      19.0,   1.193808,     91.692,    173.665
      20.0,   1.256640,     89.951,    174.105
      21.0,   1.319472,     88.314,    174.475
      22.0,   1.382304,     86.788,    174.764
      23.0,   1.445136,     85.378,    174.957
      24.0,   1.507968,     84.090,    175.042
      25.0,   1.570800,     82.925,    175.008
      26.0,   1.633632,     81.884,    174.845
      27.0,   1.696464,     80.967,    174.545
      28.0,   1.759296,     80.173,    174.104
      29.0,   1.822128,     79.500,    173.520
      30.0,   1.884960,     78.946,    172.792
      31.0,   1.947792,     78.509,    171.923
      32.0,   2.010624,     78.189,    170.919
      33.0,   2.073456,     77.984,    169.787
      34.0,   2.136288,     77.895,    168.534
      35.0,   2.199120,     77.920,    167.170
      36.0,   2.261952,     78.060,    165.706
      37.0,   2.324784,     78.317,    164.153
      38.0,   2.387616,     78.690,    162.521
      39.0,   2.450448,     79.182,    160.824
      40.0,   2.513280,     79.791,    159.072
      41.0,   2.576112,     80.519,    157.278
      42.0,   2.638944,     81.367,    155.453
      43.0,   2.701776,     82.334,    153.609
      44.0,   2.764608,     83.419,    151.758
      45.0,   2.827440,     84.623,    149.910
      46.0,   2.890272,     85.943,    148.076
      47.0,   2.953104,     87.377,    146.267
      48.0,   3.015936,     88.923,    144.492
      49.0,   3.078768,     90.579,    142.762
      50.0,   3.141600,     92.340,    141.086
      51.0,   3.204432,     94.202,    139.473
      52.0,   3.267264,     96.160,    137.930
      53.0,   3.330096,     98.208,    136.467
      54.0,   3.392928,    100.341,    135.089
      55.0,   3.455760,    102.551,    133.804
      56.0,   3.518592,    104.831,    132.618
      57.0,   3.581424,    107.171,    131.537
      58.0,   3.644256,    109.563,    130.565
      59.0,   3.707088,    111.994,    129.707
      60.0,   3.769920,    114.455,    128.967
      61.0,   3.832752,    116.930,    128.346
      62.0,   3.895584,    119.407,    127.848
      63.0,   3.958416,    121.870,    127.473
      64.0,   4.021248,    124.302,    127.221
      65.0,   4.084080,    126.686,    127.094
      66.0,   4.146912,    129.005,    127.088
      67.0,   4.209744,    131.243,    127.204
      68.0,   4.272576,    133.383,    127.437
      69.0,   4.335408,    135.410,    127.786
      70.0,   4.398240,    137.310,    128.244
      71.0,   4.461072,    139.073,    128.808
      72.0,   4.523904,    140.688,    129.470
      73.0,   4.586736,    142.147,    130.225
      74.0,   4.649568,    143.443,    131.063
      75.0,   4.712400,    144.573,    131.976
      76.0,   4.775232,    145.534,    132.956
      77.0,   4.838064,    146.325,    133.993
      78.0,   4.900896,    146.948,    135.077
      79.0,   4.963728,    147.407,    136.199
      80.0,   5.026560,    147.706,    137.351
      81.0,   5.089392,    147.853,    138.525
      82.0,   5.152224,    147.855,    139.716
      83.0,   5.215056,    147.721,    140.917
      84.0,   5.277888,    147.458,    142.123
      85.0,   5.340720,    147.074,    143.332
      86.0,   5.403552,    146.577,    144.540
      87.0,   5.466384,    145.973,    145.744
      88.0,   5.529216,    145.266,    146.941
      89.0,   5.592048,    144.461,    148.130
      90.0,   5.654880,    143.563,    149.307
      91.0,   5.717712,    142.574,    150.470
      92.0,   5.780544,    141.497,    151.618
      93.0,   5.843376,    140.334,    152.747
      94.0,   5.906208,    139.088,    153.857
      95.0,   5.969040,    137.762,    154.944
      96.0,   6.031872,    136.357,    156.008
      97.0,   6.094704,    134.876,    157.047
      98.0,   6.157536,    133.321,    158.059
      99.0,   6.220368,    131.694,    159.044
     100.0,   6.283200,    130.000,    160.000
